
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
713	21	5	32
714	6128	3	7
715	30	20	6
716	3	7	11728
717	18	30	8
718	5	18	30
719	5	17	29
720	3	5149	7
721	19	29	5
722	30	20	8
723	28	18	6
724	7	19	30
725	7	19	31
726	15	27	5
727	19	5	31
728	7	20	30
729	5	16	28
730	18	5	30
731	23	7	33
732	29	7	19
733	3	12468	8
734	19	53	39
735	31	21	5
736	5	17	29
737	17	5	29
738	17	27	5
739	8	3	3
740	3	7	17
741	42	54	68
742	85	95	69
743	68	88	99
744	27	17	7
745	6	20	32
746	33	5	23
747	6	32	22
748	25	15	5
749	28	6	20
750	49	27	41
751	58	44	68
752	52	64	40
753	17	28	5
754	19	29	9
755	17	5	29
756	22	7	34
757	29	5	19
758	7	31	21
759	31	3	17
760	17	27	5
761	29	17	7
762	7	30	20
763	105	80	97
764	3	12650	9
765	17	5	29
766	3	27	17
767	16	3	28
768	17	5	28
769	7	19	31
770	3	27	17
771	17	5	27
772	7	19	31
773	17	27	5
774	32	22	6
775	29	7	20
776	27	17	5
777	19	29	7
778	17	31	5
779	29	7	21
780	7	19	31
781	18	28	7
782	20	3	8
783	7	18112	3
784	51	41	29
785	3	16	26
786	19	29	7
787	7	29	21
788	97	78	109
789	19	7	31
790	16	28	6
791	6421	3	8
792	7	76	62
793	31	7	21
794	5	26	18
795	3	13538	8
796	29	3	19
797	22	7	32
798	29	19	7
799	29	7	19
800	17	5	29
801	7	18746	3
802	15	3	27
803	9	33	23
804	27	5	17
805	4	16	31
806	31	3	21
807	5	19	29
808	31	7	21
809	17	27	5
810	27	5	17
811	5	26	16
812	3	28	20
813	17	5	28
814	28	18	6
815	27	5	17
816	3	2682	7
817	5201	8	3
818	3	25	16
819	3	17	27
820	7	31	21
821	21	31	9
822	3	29	17
823	27	5	19
824	4	28	18
825	5	18	28
826	3	31	21
827	27	3	17
828	7	3	1510
829	4	18	30
830	17	5	29
831	28	18	7
832	28	18	7
833	5	29	19
834	7	3	19805
835	19	7	29
836	16	28	6
837	6	30	20
838	16	26	4
839	7	19	31
840	17	5	29
841	61	73	84
842	7	19	31
843	20	5	32
844	7	19	30
845	7	19	31
846	20	7	32
847	32	6	22
848	17	5	29
849	19	7	3
850	7	3	9868
851	28	4	18
852	19	29	7
853	18535	3	8
854	19	7	31
855	15	3	27
856	7	19	31
857	5	55	34
858	5	29	19
859	5	27	17
860	19	29	7
861	29	17	7
862	31	19	5
863	30	20	5
864	7	29	19
865	17	27	5
866	15060	7	3
867	50	38	5
868	5	29	19
869	3	27	17
870	7	33	23
871	29	5	19
872	27	17	5
873	3	27	17
874	3	7	5285
875	29	19	7
876	7	19	31
877	5	33	23
878	5	19	29
879	3	26	16
880	18	28	6
881	33	7	23
882	7	32	22
883	17	29	5
884	21	31	7
885	5	30	22
886	3	27	17
887	16	3	26
888	7	23	35
889	27	17	5
890	19	29	7
891	17	29	7
892	15	3	29
893	17782	3	3
894	22	32	9
895	28	18	5
896	3	7	9923
897	17	5	29
898	17	27	5
899	30	6	20
900	5	17	29
901	3	4754	8
902	22	32	8
903	3	27	17
904	27	17	5
905	3	24054	7
906	17	27	5
907	23	7	34
908	7	19	31
909	17	5	29
910	6	18	30
911	22633	8	3
912	27	17	7
913	29	7	21
914	3	69	16082
915	17	29	7
916	7	3	16151
917	17	27	5
918	7	8857	3
919	26	16	4
920	7	6201	3
921	30	20	7
922	29	19	5
923	17	5	29
924	17	5	31
925	12883	8	3
926	16	3	26
927	21	35	7
928	28	6	20
929	5	30	20
930	21	31	9
931	7	14610	3
932	6	20	32
933	3	27	17
934	29	19	7
935	7	19	30
936	28	16	6
937	27	5	19
938	5	21	33
939	18865	3	3
940	3	15	27
941	3	4893	8
942	31	7	21
943	28	6	20
944	3	28	18
945	30	7	20
946	17	27	5
947	29	19	7
948	4	16	28
949	27	17	5
950	17	5	29
951	36	24	48
952	34	22	8
953	17	32	7
954	29	7	21
955	32	7	24
956	7	31	21
957	19	57	5
958	19	29	5
959	5	28	18
960	3	27	17
961	27	7	35
962	19	29	9
963	26	16	4
964	3	17	27
965	29	19	7
966	18	7	30
967	17	3	12381
968	5	27	17
969	26	16	4
970	20	7	32
971	16	3	8
972	18	3	30
973	19	7	31
974	16	26	5
975	16	26	5
976	16598	3	8
977	27	15	5
978	3	3	4435
979	5	17	29
980	20	30	8
981	28	3	18
982	7	33	23
983	21	3	33
984	7	20	32
985	113	101	89
986	7	31	21
987	29	7	19
988	33	23	9
989	7	28	18
990	5	27	19
991	18	30	6
992	5	29	19
993	18	28	6
994	29	7	19
995	98	91	80
996	5	20	32
997	27	5	17
998	5	19	31
999	29	19	7
